cus_id,cus_type,cus_point,product,brand
130962,Type 1,3066,Product A,Brand 8
117002,Type 1,2972,Product A,Brand 9
140290,Type 1,13336,Product A,Brand 3
131101,Type 1,9645,Product A,Brand 8
150655,Type 1,7064,Product A,Brand 3
131364,Type 1,3567,Product A,Brand 15
141278,Type 1,780,Product A,Brand 5
131578,Type 1,125687,Product A,Brand 8
141484,Type 1,20698,Product A,Brand 3
151474,Type 1,780,Product A,Brand 5
131868,Type 1,812,Product A,Brand 4
141977,Type 1,1207,Product A,Brand 3
152181,Type 1,2060,Product A,Brand 8
142107,Type 1,1670,Product A,Brand 3
132035,Type 1,10507,Product A,Brand 3
152359,Type 1,1732,Product A,Brand 3
142584,Type 1,966,Product A,Brand 7
152982,Type 1,4504,Product A,Brand 3
132482,Type 1,13150,Product A,Brand 3
142883,Type 1,6616,Product A,Brand 3
132706,Type 1,644,Product A,Brand 3
154698,Type 1,8876,Product A,Brand 9
143300,Type 1,1160,Product A,Brand 3
132866,Type 1,1102,Product A,Brand 8
155687,Type 1,874,Product A,Brand 3
133507,Type 1,4142,Product A,Brand 4
143590,Type 1,269035,Product A,Brand 4
156385,Type 1,623,Product A,Brand 1
143787,Type 1,2473,Product A,Brand 1
133778,Type 1,17033,Product A,Brand 4
156563,Type 1,642,Product A,Brand 5
143880,Type 1,1772,Product A,Brand 5
133899,Type 1,5088,Product A,Brand 4
143962,Type 1,2739,Product A,Brand 8
156880,Type 1,629,Product A,Brand 3
144083,Type 1,3512,Product A,Brand 3
134084,Type 1,1048,Product A,Brand 3
156898,Type 1,997,Product A,Brand 3
134383,Type 1,1514,Product A,Brand 11
144364,Type 1,2684,Product A,Brand 3
157083,Type 1,635,Product A,Brand 2
135764,Type 1,1454,Product A,Brand 3
144606,Type 1,4425,Product A,Brand 3
157307,Type 1,932,Product A,Brand 9
135782,Type 1,872,Product A,Brand 3
157784,Type 1,567,Product A,Brand 7
144784,Type 1,2560,Product A,Brand 8
172086,Type 1,1032,Product A,Brand 3
144987,Type 1,893,Product A,Brand 3
158304,Type 1,1316,Product A,Brand 8
145473,Type 1,4747,Product A,Brand 3
172179,Type 1,460,Product A,Brand 1
158669,Type 1,1673,Product A,Brand 5
145482,Type 1,1845,Product A,Brand 3
172385,Type 1,2754,Product A,Brand 8
159564,Type 1,25250,Product A,Brand 8
145669,Type 1,1971,Product A,Brand 3
172403,Type 1,4704,Product A,Brand 3
159573,Type 1,888,Product A,Brand 5
145772,Type 1,3697,Product A,Brand 3
173270,Type 1,840,Product A,Brand 3
159881,Type 1,1659,Product A,Brand 5
145884,Type 1,1034,Product A,Brand 7
173503,Type 1,11964,Product A,Brand 9
159899,Type 1,5654,Product A,Brand 3
146591,Type 1,11083,Product A,Brand 4
173569,Type 1,2112,Product A,Brand 3
160288,Type 1,3094,Product A,Brand 7
146600,Type 1,184669,Product A,Brand 3
174249,Type 1,1341,Product A,Brand 3
160382,Type 1,1802,Product A,Brand 5
174295,Type 1,515,Product A,Brand 3
147785,Type 1,2340,Product A,Brand 3
160578,Type 1,9137,Product A,Brand 8
174500,Type 1,66804,Product A,Brand 3
147851,Type 1,3364,Product A,Brand 3
161201,Type 1,8705,Product A,Brand 9
174984,Type 1,2882,Product A,Brand 8
148099,Type 1,2350,Product A,Brand 7
175386,Type 1,269,Product A,Brand 7
161530,Type 1,28484,Product A,Brand 3
148166,Type 1,2142,Product A,Brand 3
176029,Type 1,10564,Product A,Brand 4
148268,Type 1,901,Product A,Brand 3
163298,Type 1,5198,Product A,Brand 5
148398,Type 1,2410,Product A,Brand 3
176392,Type 1,7458,Product A,Brand 8
163477,Type 1,13573,Product A,Brand 8
148643,Type 1,1168,Product A,Brand 5
176570,Type 1,1158,Product A,Brand 5
148737,Type 1,5469,Product A,Brand 3
164081,Type 1,1134,Product A,Brand 3
177428,Type 1,719,Product A,Brand 3
149078,Type 1,1183,Product A,Brand 3
164259,Type 1,2575,Product A,Brand 3
149963,Type 1,13651,Product A,Brand 4
177679,Type 1,8863,Product A,Brand 4
164903,Type 1,1154,Product A,Brand 3
177848,Type 1,12484,Product A,Brand 3
164967,Type 1,5489,Product A,Brand 4
178078,Type 1,1865,Product A,Brand 3
189673,Type 1,11074,Product A,Brand 3
165556,Type 1,139143,Product A,Brand 8
178172,Type 1,1179,Product A,Brand 1
190491,Type 1,1644,Product A,Brand 3
179076,Type 1,1941,Product A,Brand 3
165686,Type 1,1127,Product A,Brand 8
190875,Type 1,1083,Product A,Brand 1
166039,Type 1,2604,Product A,Brand 9
179628,Type 1,5752,Product A,Brand 3
191283,Type 1,3081,Product A,Brand 3
180072,Type 1,1052,Product A,Brand 5
166777,Type 1,899,Product A,Brand 5
191863,Type 1,9608,Product A,Brand 3
180371,Type 1,754,Product A,Brand 1
167381,Type 1,1011,Product A,Brand 3
180465,Type 1,1082,Product A,Brand 8
192486,Type 1,4293,Product A,Brand 8
167792,Type 1,4175,Product A,Brand 3
192785,Type 1,1650,Product A,Brand 8
182281,Type 1,439,Product A,Brand 1
168285,Type 1,1695,Product A,Brand 3
193090,Type 1,1293,Product A,Brand 5
183596,Type 1,7240,Product A,Brand 3
193175,Type 1,843,Product A,Brand 3
168499,Type 1,905,Product A,Brand 3
183698,Type 1,5751,Product A,Brand 15
193465,Type 1,1182,Product A,Brand 3
169282,Type 1,3922,Product A,Brand 5
183774,Type 1,2514,Product A,Brand 8
193577,Type 1,2479,Product A,Brand 3
169581,Type 1,63464,Product A,Brand 4
193737,Type 1,15598,Product A,Brand 4
184584,Type 1,1747,Product A,Brand 5
194368,Type 1,1940,Product A,Brand 3
185179,Type 1,178,Product A,Brand 7
169684,Type 1,4940,Product A,Brand 4
185376,Type 1,974,Product A,Brand 3
170203,Type 1,2062,Product A,Brand 8
194498,Type 1,1195,Product A,Brand 11
186476,Type 1,1417,Product A,Brand 3
170260,Type 1,2691,Product A,Brand 4
196680,Type 1,1034,Product A,Brand 3
171061,Type 1,0,Product A,Brand 3
186672,Type 1,12542,Product A,Brand 15
196728,Type 1,8385,Product A,Brand 3
171687,Type 1,1320,Product A,Brand 3
187875,Type 1,12736,Product A,Brand 15
197070,Type 1,3156,Product A,Brand 3
171696,Type 1,6775,Product A,Brand 3
188105,Type 1,1693,Product A,Brand 3
197182,Type 1,383,Product A,Brand 1
188358,Type 1,4029,Product A,Brand 3
197406,Type 1,410174,Product A,Brand 4
207380,Type 1,2352,Product A,Brand 1
188648,Type 1,2299,Product A,Brand 3
207483,Type 1,1372,Product A,Brand 3
197687,Type 1,2111,Product A,Brand 3
188667,Type 1,538,Product A,Brand 11
197974,Type 1,809,Product A,Brand 5
207773,Type 1,11534,Product A,Brand 3
188845,Type 1,1511,Product A,Brand 4
198179,Type 1,1210,Product A,Brand 3
189057,Type 1,7316,Product A,Brand 8
207800,Type 1,3789,Product A,Brand 3
199065,Type 1,834,Product A,Brand 8
222682,Type 1,2665,Product A,Brand 3
199279,Type 1,1322,Product A,Brand 7
208172,Type 1,196338,Product A,Brand 3
222933,Type 1,5141,Product A,Brand 9
199391,Type 1,2407,Product A,Brand 4
208275,Type 1,662,Product A,Brand 3
199970,Type 1,376,Product A,Brand 3
208368,Type 1,1104,Product A,Brand 3
223250,Type 1,18090,Product A,Brand 8
200306,Type 1,106288,Product A,Brand 3
208498,Type 1,3820,Product A,Brand 3
223259,Type 1,17409,Product A,Brand 8
200363,Type 1,6592,Product A,Brand 15
208900,Type 1,765,Product A,Brand 3
223679,Type 1,627,Product A,Brand 3
224480,Type 1,1354,Product A,Brand 1
200568,Type 1,10074,Product A,Brand 4
209290,Type 1,588,Product A,Brand 3
201182,Type 1,1153,Product A,Brand 5
224882,Type 1,698,Product A,Brand 8
209375,Type 1,731,Product A,Brand 3
224982,Type 1,939,Product A,Brand 5
201575,Type 1,1587,Product A,Brand 3
209487,Type 1,842,Product A,Brand 1
201762,Type 1,16787,Product A,Brand 15
225263,Type 1,5691,Product A,Brand 3
209758,Type 1,2462,Product A,Brand 4
202442,Type 1,2048,Product A,Brand 5
210166,Type 1,4192,Product A,Brand 4
225487,Type 1,3518,Product A,Brand 3
202469,Type 1,1773,Product A,Brand 3
210184,Type 1,1683,Product A,Brand 3
225870,Type 1,357,Product A,Brand 3
202835,Type 1,104121,Product A,Brand 8
226877,Type 1,362,Product A,Brand 3
210362,Type 1,1316956,Product A,Brand 4
202971,Type 1,2721,Product A,Brand 4
227079,Type 1,3238,Product A,Brand 8
210707,Type 1,1123,Product A,Brand 3
202998,Type 1,2823,Product A,Brand 3
227705,Type 1,3902,Product A,Brand 9
211199,Type 1,21850,Product A,Brand 3
203503,Type 1,749,Product A,Brand 3
227928,Type 1,4190,Product A,Brand 3
211266,Type 1,1913,Product A,Brand 3
203932,Type 1,97258,Product A,Brand 4
228273,Type 1,1805,Product A,Brand 5
211946,Type 1,5107,Product A,Brand 3
204005,Type 1,2156,Product A,Brand 3
228998,Type 1,1937,Product A,Brand 3
212263,Type 1,3089,Product A,Brand 3
204754,Type 1,2856,Product A,Brand 3
229101,Type 1,780,Product A,Brand 9
212272,Type 1,955,Product A,Brand 3
205171,Type 1,3404,Product A,Brand 3
229729,Type 1,318293,Product A,Brand 4
205274,Type 1,2954,Product A,Brand 3
212393,Type 1,1307829,Product A,Brand 4
205386,Type 1,478,Product A,Brand 3
230351,Type 1,2842,Product A,Brand 3
212450,Type 1,12301,Product A,Brand 3
205470,Type 1,2325,Product A,Brand 3
230687,Type 1,10165,Product A,Brand 3
212505,Type 1,34093,Product A,Brand 3
206084,Type 1,3825,Product A,Brand 3
231077,Type 1,3967,Product A,Brand 3
206102,Type 1,4023,Product A,Brand 3
213399,Type 1,4023,Product A,Brand 3
206401,Type 1,1652,Product A,Brand 2
231207,Type 1,733,Product A,Brand 3
231264,Type 1,1731,Product A,Brand 3
213840,Type 1,1334,Product A,Brand 3
206878,Type 1,506,Product A,Brand 1
213886,Type 1,762,Product A,Brand 15
206969,Type 1,381,Product A,Brand 1
232775,Type 1,1574,Product A,Brand 3
206978,Type 1,6110,Product A,Brand 3
214342,Type 1,10875,Product A,Brand 3
232784,Type 1,4868,Product A,Brand 5
232959,Type 1,1247166,Product A,Brand 10
239203,Type 1,16356,Product A,Brand 3
214650,Type 1,8509,Product A,Brand 8
233174,Type 1,951,Product A,Brand 3
239484,Type 1,4735,Product A,Brand 4
214735,Type 1,391810,Product A,Brand 10
233286,Type 1,2056,Product A,Brand 5
239541,Type 1,12295,Product A,Brand 3
233370,Type 1,944,Product A,Brand 5
215282,Type 1,1177,Product A,Brand 3
233455,Type 1,5389,Product A,Brand 8
239680,Type 1,1256,Product A,Brand 5
215581,Type 1,306,Product A,Brand 1
233482,Type 1,10973,Product A,Brand 3
240882,Type 1,2063,Product A,Brand 3
215590,Type 1,9696,Product A,Brand 8
234667,Type 1,9865,Product A,Brand 8
241085,Type 1,6530,Product A,Brand 8
216092,Type 1,1530,Product A,Brand 5
234769,Type 1,2389,Product A,Brand 3
216560,Type 1,2051,Product A,Brand 4
241535,Type 1,11937,Product A,Brand 4
235102,Type 1,717,Product A,Brand 3
242185,Type 1,2723,Product A,Brand 5
235244,Type 1,384,Product A,Brand 3
216850,Type 1,58653,Product A,Brand 3
242372,Type 1,14056,Product A,Brand 4
235458,Type 1,4733,Product A,Brand 8
218189,Type 1,839,Product A,Brand 3
242877,Type 1,827,Product A,Brand 3
235486,Type 1,208,Product A,Brand 1
242886,Type 1,992,Product A,Brand 8
218806,Type 1,1477,Product A,Brand 3
236081,Type 1,29393,Product A,Brand 3
242904,Type 1,1602,Product A,Brand 3
243303,Type 1,14901,Product A,Brand 17
236531,Type 1,2954,Product A,Brand 3
219271,Type 1,17556,Product A,Brand 8
243342,Type 1,2219,Product A,Brand 5
236885,Type 1,2024,Product A,Brand 4
219579,Type 1,4145,Product A,Brand 4
236994,Type 1,14306,Product A,Brand 3
243965,Type 1,1283,Product A,Brand 3
219987,Type 1,2983,Product A,Brand 8
244077,Type 1,3121,Product A,Brand 7
237547,Type 1,12870,Product A,Brand 4
220455,Type 1,10918,Product A,Brand 3
238067,Type 1,1608,Product A,Brand 8
244179,Type 1,6139,Product A,Brand 8
220772,Type 1,1799,Product A,Brand 3
245204,Type 1,65297,Product A,Brand 4
238665,Type 1,3925,Product A,Brand 4
220902,Type 1,6825,Product A,Brand 4
245279,Type 1,3080,Product A,Brand 3
255484,Type 1,2204,Product A,Brand 3
221703,Type 1,2019,Product A,Brand 3
245950,Type 1,4290,Product A,Brand 3
255502,Type 1,8240,Product A,Brand 3
222084,Type 1,1880,Product A,Brand 15
246062,Type 1,3914,Product A,Brand 8
255801,Type 1,1433,Product A,Brand 3
222374,Type 1,4936,Product A,Brand 3
246884,Type 1,4150,Product A,Brand 7
255986,Type 1,4112,Product A,Brand 7
